sparknom;sparkadresse1;sparkadresse2;sparkcp;sparkdescription;svillnom;svehinumimma;image;smodenom;smarqnom;icapacite;bvehielectrique;bdisponiblevehicule;geo_location;options
Désiré Colombe;11 rue Arsène Leloup;;44000;"11 Rue Arsène Leloup 
 
	Au croisement de la rue Désiré Colombe 
 
	  
 
	TAN : Arrêt Sanitat (de la ligne 11)
	BICLOO : vers la station n°12 Lamoricière";Nantes;EV-150-ZS;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/122c78f17965a08d292d97ea1b168ca6;208;Peugeot;5;non;oui;47.2117,-1.56931;
Quai De Versailles;38 Quai de Versailles;;44000;"Face à l'agence AXA assurance 
 
	Tan - arrêt Motte rouge ou Saint-Mihiel 
 
	Tram Ligne 2 
 
	  
 
	Bicloo - Station n° 24 Quai de Versailles";Nantes;FZ-854-DZ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/13950d1a96d9f36ed26d9f9ea3069ccb;Clio V Hybride Automatique;Renault;2;non;oui;47.22672,-1.55571;"Bluetooth;Réhausseur"
Ladmirault;Place Paul Emile Ladmirault;;44000;"Véhicule  5 place de la monnaie 
 
	Place Paul Emile Ladmirault 
 
	
TAN - Arrêt Copernic
	Bus ligne 23
	Chronobus lignes C1 et C3

bicloo - Station n°33 Racine";Nantes;EW-789-ZK;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/a089235430259183a8165aded30eba5a;208;Peugeot;5;non;oui;47.21377,-1.56432;Réhausseur
Edouard Normand;5, place Edouard Normand;;44000;"5, place Edouard Normand 
 
	Tan : arrêt Jean Jaurès (ligne 3) 
 
	Bicloo : station n° 16 place Edouard Normand";Nantes;DW-950-TA;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/e36dd08927b29634b58fdd046b140d81;Clio IV;Renault;5;non;oui;47.21885,-1.56287;Réhausseur
Saint Jacques;112/118 rue Saint Jacques;;44200;"Adresse : 112/118 rue Saint Jacques, à côté de l'entrée de l'hopital 
 
	TAN : Arrêt Saint jacques (Bus ligne 42) 
 
	Bicloo : Station n° 99 Hopital Saint Jacques";Nantes;DR-895-CP;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/85c701f5383ca2bb128d429be8b807d5;Twingo 3;Renault;4;non;oui;47.19588,-1.53688;Réhausseur
Ladmirault;Place Paul Emile Ladmirault;;44000;"Véhicule  5 place de la monnaie 
 
	Place Paul Emile Ladmirault 
 
	
TAN - Arrêt Copernic
	Bus ligne 23
	Chronobus lignes C1 et C3

bicloo - Station n°33 Racine";Nantes;EG-650-KY;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/d9a8628456091b53ce706a13d06ac6a4;Clio IV;Renault;5;non;oui;47.21377,-1.56432;Siège Bébé
Gare Sud;Quai de Malakoff;;44000;"Le long du Canal Saint-Félix
	Face à la Rue des Remorqueurs

TAN - Arrêt Gare SNCF
	Chronobus lignes C2, C3 et C5
	Navette Aéroport

bicloo - Station n°60 Gare sud";Nantes;DV-308-TG;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/969e1c3886de9f3aa8e221c24c4e9fba;Twingo 3;Renault;4;non;oui;47.21496,-1.54189;
Souillarderie;201 Route de Sainte Luce;;44300;"En face du Super U Nantes Chénaie et de la boulangerie Sésame 
 
	Tan Tramway Ligne 1 Arrêt Souillarderie, Chronobus Ligne C7 Arrêt Cousteau";Nantes;FW-838-ND;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/8a211ec8bd569513b005addb583d4d11;Clio V Hybride Automatique;Renault;5;non;oui;47.23866,-1.51464;Bluetooth
Lamoricière;15 rue Lamoricière;;44100;"15 rue Lamoricière
	Au niveau de l'entrée de l'école IFAG 
 
	TAN :
	Arrêt Lamoricière (Chronobus lignes C1 et C3, Bus ligne 23) 
 
	Arrêt René Bouhier (Bus ligne 11) 
 
	BICLOO : 
 
	Station n°75 Lamoricière";Nantes;EG-326-KX;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/567bab5a0c3f007ac0d9057ee15abd4d;Clio IV;Renault;5;non;oui;47.21222,-1.57167;Réhausseur x2
Haluchère;Rue du Ranzay;;44300;"TAN - Arrêt Haluchère  
 
	Bus ligne 23,77,85,95
	Tram ligne 1
	Chronobus ligne C1";Nantes;FZ-886-HJ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/f87e09ff6fc18d4d9f2934abd17f0a10;Clio V Hybride Automatique;Renault;5;non;non;47.24841,-1.5222;Bluetooth
